"","dpi","temp","treatment","mean_eye_score","median_eye_score","mean_bird_cv_eye_score","mean_bird_pv_eye_score","mean_bird_v2_eye_score","mean_cv_lower_ci_eye_score","mean_cv_upper_ci_eye_score","mean_pv_lower_ci_eye_score","mean_pv_upper_ci_eye_score","mean_v2_lower_ci_eye_score","mean_v2_upper_ci_eye_score"
"1","7","Cold","Infected",0.166666666666667,0,1.94236266584174,0.42354669464087,0.790478185851058,0,3.42302531140094,0,0.605214962863302,0,0.921365734285493
"2","7","Warm","Infected",0.269230769230769,0,1.22159533063704,0.569495502706004,0.598763413208084,0.692376025976379,2.03565008331582,0.344114404455261,0.601578676198667,0.323735607420472,0.805593890452696
"3","9","Cold","Infected",0.75,0,1.73845861473733,0.531269000298014,0.751382212663127,1.00100572118919,3.44755335901448,0.166600026656004,0.661965554465134,0.488411219693951,0.92193769176304
"4","9","Warm","Infected",0.961538461538462,1,1.00506936678726,0.665092797022599,0.502528258855858,0.610094906507592,1.6800629613565,0.480482428932996,0.676371230209894,0.27334854483533,0.722309496963478
"5","14","Cold","Infected",0.958333333333333,0.25,1.32336085446078,0.650423443361766,0.636533335792834,0.787968229947507,2.17085297754551,0.408274360370169,0.700086384957718,0.359858314665922,0.813811500953779
"6","14","Warm","Infected",0.884615384615385,0.5,1.26567028543932,0.670366862402167,0.615668617273342,0.781653547809138,2.08451729517176,0.409860987534523,0.69166907380486,0.370199484423848,0.812916693707043
"7","18","Cold","Infected",0.75,0.25,1.54191250488524,0.669410633394814,0.703922509155884,0.928218599996974,2.38718581505872,0.42605198456131,0.706281901157951,0.457480242844709,0.858770654464765
"8","18","Warm","Infected",0.961538461538461,0,1.22673071469741,0.594780974406842,0.600777405580363,0.769614763756124,2.04445216250528,0.384359145185261,0.615102709319139,0.375296726179158,0.855219933142454
"9","21","Cold","Infected",0.291666666666667,0,1.98946495366967,0.518135960145494,0.798304580652061,1.04030471686672,3.38291173353296,0.166333998669328,0.646995500616594,0.519746557718548,0.919640579937612
"10","21","Warm","Infected",0.692307692307692,0,1.5450345571437,0.638413980211193,0.704764956271433,0.997573116228318,2.5744020889323,0.383847689236911,0.688951920845644,0.479617166567987,0.857454180639726
"11","24","Cold","Infected",0.375,0,1.89125820202636,0.577879294057493,0.781509478708942,0.879718651271818,2.88047332861044,0.302425452126051,0.665921256248,0.436271923619805,0.892439885637321
"12","24","Warm","Infected",0.5,0,1.52447627909376,0.630417297995822,0.699160168805231,0.924161069432681,2.52263567562266,0.396783215760645,0.680568830582488,0.464853074572561,0.853079152811985
"13","28","Cold","Infected",0.25,0,1.99203187250996,0.431301260507121,0.798719492908968,0,3.43660874517634,0,0.625365235025298,0,0.92193769176304
"14","28","Warm","Infected",0.269230769230769,0,2.08451729517176,0.489621610199046,0.812916693707043,1.11937749446001,3.514182529692,0.153539075694764,0.633722751705676,0.556148536199941,0.92509070870203
